PLAYER_NAME,SHOT_MADE_FLAG,LOC_X,LOC_Y,high_pres
JaKarr Sampson,1,-9.0,8.0,0
Tyler Zeller,1,-1.0,-1.0,0
Isaiah Canaan,1,-138.0,219.0,0
Jahlil Okafor,1,-47.0,18.0,0
Tyler Zeller,0,28.0,174.0,0
Isaiah Canaan,0,-11.0,3.0,0
Jahlil Okafor,1,9.0,0.0,0
David Lee,0,25.0,3.0,0
Hollis Thompson,0,-197.0,26.0,0
Jae Crowder,1,128.0,234.0,0
JaKarr Sampson,0,-34.0,7.0,0
Jahlil Okafor,1,-4.0,2.0,0
Jahlil Okafor,0,-133.0,70.0,0
Nerlens Noel,1,33.0,0.0,0
Jared Sullinger,0,-194.0,174.0,0
David Lee,1,-1.0,7.0,0
Hollis Thompson,0,235.0,-1.0,0
Avery Bradley,1,-7.0,-11.0,0
Nerlens Noel,1,0.0,1.0,0
Avery Bradley,0,-76.0,178.0,0
Nerlens Noel,0,62.0,141.0,0
Jared Sullinger,1,-9.0,-6.0,0
Nerlens Noel,0,91.0,90.0,0
Isaiah Thomas,0,123.0,232.0,0
Isaiah Thomas,0,-14.0,-10.0,0
Amir Johnson,0,0.0,1.0,0
Isaiah Thomas,0,-20.0,13.0,0
Isaiah Thomas,1,-12.0,62.0,0
Jerami Grant,0,27.0,23.0,0
Amir Johnson,1,-1.0,-1.0,0
T.J. McConnell,0,115.0,56.0,0
Hollis Thompson,0,-38.0,16.0,0
Jonas Jerebko,0,-45.0,18.0,0
Marcus Smart,1,235.0,47.0,0
Hollis Thompson,0,233.0,7.0,0
Hollis Thompson,0,33.0,8.0,0
Hollis Thompson,0,1.0,8.0,0
Richaun Holmes,1,-7.0,2.0,0
Jonas Jerebko,0,-199.0,-6.0,0
Jae Crowder,1,0.0,1.0,0
David Lee,0,37.0,3.0,0
Isaiah Canaan,1,10.0,2.0,0
Jerami Grant,0,20.0,16.0,0
Isaiah Thomas,1,9.0,-11.0,0
Isaiah Canaan,1,20.0,0.0,0
Amir Johnson,1,14.0,2.0,0
Isaiah Canaan,0,-78.0,242.0,0
Marcus Smart,1,-178.0,200.0,0
Jahlil Okafor,0,-91.0,110.0,0
Jahlil Okafor,0,105.0,9.0,0
Avery Bradley,0,-53.0,247.0,0
Jared Sullinger,1,9.0,-5.0,0
Jared Sullinger,1,46.0,164.0,0
Hollis Thompson,1,-240.0,0.0,0
Isaiah Thomas,1,-16.0,7.0,0
Isaiah Thomas,1,1.0,-1.0,0
Isaiah Thomas,1,-2.0,11.0,0
Isaiah Canaan,0,-142.0,239.0,0
Amir Johnson,1,22.0,-1.0,0
JaKarr Sampson,1,-22.0,-5.0,0
Isaiah Thomas,0,-32.0,26.0,0
Amir Johnson,0,-1.0,7.0,0
JaKarr Sampson,0,230.0,52.0,0
T.J. McConnell,1,53.0,23.0,0
Avery Bradley,1,0.0,1.0,0
Jerami Grant,1,-9.0,11.0,0
Amir Johnson,0,-37.0,249.0,0
Hollis Thompson,1,-240.0,2.0,0
Isaiah Canaan,0,-19.0,8.0,0
Jonas Jerebko,0,-238.0,31.0,0
Nerlens Noel,1,28.0,144.0,0
Jared Sullinger,1,17.0,208.0,0
JaKarr Sampson,0,-32.0,90.0,0
Jonas Jerebko,1,0.0,1.0,0
JaKarr Sampson,0,37.0,16.0,0
Jonas Jerebko,1,-238.0,2.0,0
Jared Sullinger,0,-122.0,232.0,0
Jahlil Okafor,0,2.0,33.0,0
Isaiah Thomas,1,-4.0,-10.0,0
